Number of Genes (l),Population Size (N),Generations (G),Mutation Probability (P_m),Crossover Probability (P_c)
20,30,100,0.033,0.6

Generation,Avg Fitness,Best Fitness,# of Correct Bits in Best
91,0.0912846,0.926869,10
92,0.150541,0.893489,10
93,0.113285,0.927368,13
94,0.0580701,0.396044,10
95,0.125481,0.953509,12
96,0.118619,0.706467,12
97,0.0854497,0.873004,14
98,0.0904298,0.613294,13
99,0.108854,0.866234,12
100,0.0285086,0.298766,12

1,0.0451947,0.509182,12
2,0.0554747,0.431301,11
3,0.108371,0.831834,12
4,0.11719,0.949633,14
5,0.0985033,0.748543,10
6,0.0937009,0.90725,12
7,0.0650447,0.538225,12
8,0.0888925,0.651385,9
9,0.0403449,0.665276,12
10,0.145419,0.968897,12
11,0.117707,0.929822,12
12,0.072237,0.722555,12
13,0.0723717,0.978,15
14,0.127289,0.77707,15
15,0.0628593,0.579696,11
16,0.150585,0.708003,14
17,0.0556435,0.731013,11
18,0.0769171,0.517397,13
19,0.0384057,0.431771,11
20,0.0497446,0.353985,14
21,0.0682531,0.707563,14
22,0.0588044,0.795465,12
23,0.112996,0.866167,11
